"Mobley, Evan",52,0.04,"Mobley, Evan",CLE,21,79,34.4,16.2,0.28,.216,9.0,2.8,0.76,1.51,.554,12.0,.675,3.9,1.8,2.8,-0.11,-1.25,1.30,-0.50,-0.55,1.69,0.99,-1.32,0.10
"Robinson, Mitchell",53,0.03,"Robinson, Mitchell",NYK,24,59,26.9,7.4,0.00,.000,9.4,0.9,0.95,1.85,.671,4.7,.484,2.1,0.7,2.7,-1.45,-1.51,1.46,-1.34,-0.07,2.35,1.16,-1.79,1.49
"Harrison, Shaquille",54,0.03,"Harrison, Shaquille",POR,29,5,24.0,8.8,0.60,.300,4.4,6.0,2.20,0.40,.417,7.2,.733,3.0,1.2,2.4,-1.24,-0.95,-0.60,0.91,3.11,-0.48,-0.78,-0.55,0.88
"Ayton, Deandre",55,0.03,"Ayton, Deandre",PHO,24,67,30.4,18.0,0.10,.292,10.0,1.7,0.55,0.81,.589,13.2,.760,3.0,1.8,2.8,0.16,-1.41,1.69,-0.99,-1.07,0.32,1.73,-0.33,0.17
"Beal, Bradley",56,0.03,"Beal, Bradley",WAS,29,50,33.5,23.2,1.60,.364,3.9,5.4,0.90,0.66,.506,17.6,.842,4.6,2.9,2.1,0.96,-0.03,-0.80,0.65,-0.19,0.03,0.28,0.51,-1.17
"Kessler, Walker",57,0.02,"Kessler, Walker",UTA,21,74,23.0,9.2,0.01,.333,8.4,0.9,0.35,2.34,.720,5.6,.516,2.1,0.8,2.3,-1.18,-1.49,1.04,-1.34,-1.58,3.31,1.75,-1.67,1.38
"Johnson, Cameron",58,0.02,"Johnson, Cameron",BKN,26,42,28.6,15.5,2.45,.404,4.4,1.9,1.19,0.33,.470,11.3,.842,2.9,0.9,2.0,-0.22,0.76,-0.60,-0.92,0.55,-0.61,-0.38,0.31,1.26
"Gobert, Rudy",59,0.01,"Gobert, Rudy",MIN,30,70,30.7,13.4,0.00,.000,11.6,1.2,0.81,1.36,.659,7.8,.644,4.9,1.7,3.0,-0.53,-1.51,2.38,-1.20,-0.41,1.39,1.78,-2.07,0.22
"Ingram, Brandon",60,0.00,"Ingram, Brandon",NOR,25,46,34.3,24.8,1.41,.392,5.5,5.8,0.70,0.43,.485,18.5,.880,6.2,3.3,2.6,1.21,-0.20,-0.16,0.84,-0.71,-0.41,-0.23,1.33,-1.65
"Harris, Tobias",61,0.00,"Harris, Tobias",PHI,30,74,32.9,14.7,1.70,.389,5.7,2.5,0.92,0.54,.501,11.4,.876,1.7,1.2,2.0,-0.34,0.07,-0.05,-0.63,-0.14,-0.20,0.10,0.35,0.87
"Murray, Jamal",62,0.00,"Murray, Jamal",DEN,25,65,32.8,20.0,2.65,.398,3.9,6.2,1.03,0.25,.454,16.0,.833,3.3,2.2,1.6,0.47,0.94,-0.79,0.98,0.14,-0.78,-0.89,0.29,-0.36
"Horford, Al",63,-0.01,"Horford, Al",BOS,36,63,30.5,9.8,2.30,.446,6.2,3.0,0.48,0.97,.476,7.6,.714,0.3,0.6,1.9,-1.09,0.62,0.14,-0.42,-1.27,0.63,-0.20,-0.09,1.60
"Thompson, Klay",64,-0.01,"Thompson, Klay",GSW,32,69,33.0,21.9,4.36,.412,4.1,2.4,0.72,0.42,.436,18.1,.879,1.9,1.8,1.9,0.76,2.53,-0.71,-0.69,-0.64,-0.44,-1.47,0.40,0.18
"Wiggins, Andrew",65,-0.02,"Wiggins, Andrew",GSW,27,37,32.2,17.1,2.41,.396,5.0,2.3,1.22,0.76,.473,14.3,.611,1.9,1.3,2.9,0.03,0.72,-0.34,-0.73,0.61,0.22,-0.43,-1.01,0.76
"Williams, Robert",66,-0.02,"Williams, Robert",BOS,25,35,23.5,8.0,0.00,.000,8.3,1.4,0.63,1.37,.747,4.9,.610,1.2,1.0,1.9,-1.36,-1.51,1.02,-1.11,-0.88,1.42,1.70,-0.61,1.15
"Randle, Julius",67,-0.02,"Randle, Julius",NYK,28,77,35.6,25.1,2.83,.343,10.0,4.1,0.64,0.27,.460,18.6,.757,6.9,2.8,3.0,1.26,1.11,1.69,0.07,-0.86,-0.73,-0.89,-0.81,-1.05
"Grant, Jerami",68,-0.03,"Grant, Jerami",POR,28,63,35.6,20.5,2.29,.400,4.5,2.4,0.81,0.84,.475,14.5,.813,5.4,1.8,2.4,0.54,0.61,-0.56,-0.69,-0.42,0.38,-0.38,0.18,0.11
"King, Louis",69,-0.03,"King, Louis",PHI,23,1,28.8,20.0,4.00,.500,4.0,2.0,1.00,0.00,.615,13.0,.000,1.0,2.0,4.0,0.47,2.20,-0.77,-0.86,0.06,-1.26,2.18,-2.18,-0.09
"Gray, RaiQuan",70,-0.03,"Gray, RaiQuan",BKN,23,1,35.1,16.0,2.00,.400,9.0,7.0,0.00,1.00,.500,12.0,1.000,2.0,4.0,5.0,-0.14,0.35,1.29,1.35,-2.47,0.70,0.09,1.08,-2.49
